                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1667,                 2.2019,                 1.3407,                0.01721,                0.61905,                0.18386,                0.07827,                 1.9057,                 3.0102,                 1.3529,             0.00064865,             0.00064865,             0.00064865
                      2,                 2.0366,                 1.5561,                 1.3093,                0.63044,                0.25926,                 0.3547,                0.16022,                 1.9495,                 2.4464,                 1.3161,              0.0012893,              0.0012893,              0.0012893
                      3,                 2.0197,                  1.474,                 1.2965,                0.22133,                0.41975,                0.18683,                0.09056,                 1.9907,                 2.1267,                 1.3631,              0.0019035,              0.0019035,              0.0019035
                      4,                  2.008,                 1.4333,                 1.2959,                0.62573,                0.41505,                 0.4462,                0.19664,                 2.0445,                 1.8161,                 1.3882,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.0317,                 1.4083,                 1.2689,                0.53391,                0.44581,                0.46211,                 0.2174,                 1.9964,                 1.6492,                 1.3975,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.9841,                 1.3337,                  1.286,                0.65164,                0.62434,                0.63482,                0.28026,                 1.9257,                 1.4086,                 1.2974,               0.001802,               0.001802,               0.001802
                      7,                 2.0118,                 1.2894,                 1.2789,                0.67944,                0.63674,                 0.6776,                0.31306,                 1.8817,                 1.3367,                 1.3044,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.9914,                 1.2561,                 1.2615,                0.73574,                0.61728,                 0.6828,                0.30885,                 1.8602,                 1.2866,                 1.2832,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.9895,                 1.2755,                 1.2711,                0.69233,                0.58789,                0.64444,                0.29914,                 1.9064,                  1.326,                 1.3474,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.9898,                 1.2757,                  1.283,                0.72419,                0.58613,                0.65692,                0.30343,                 1.8813,                 1.3284,                 1.2986,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.9648,                 1.2908,                 1.2734,                0.72679,                0.63257,                0.68168,                0.31659,                 1.8909,                 1.2721,                 1.2837,               0.001604,               0.001604,               0.001604
                     12,                  1.989,                 1.2326,                 1.2602,                 0.6704,                 0.6408,                0.67325,                0.31722,                 1.8233,                 1.3185,                   1.29,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.9727,                 1.1908,                 1.2715,                0.71043,                 0.5553,                0.61318,                0.29036,                 1.9049,                 1.3292,                 1.3352,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.9376,                 1.1929,                  1.245,                 0.7329,                0.62911,                0.68841,                0.31317,                 1.8956,                 1.2624,                 1.3252,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.9002,                 1.1571,                 1.2455,                0.73781,                0.61873,                0.67975,                0.31845,                 1.8775,                 1.2529,                 1.3015,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.9392,                 1.1989,                 1.2562,                0.76173,                0.57134,                0.66758,                0.31466,                 1.8704,                 1.2798,                 1.3067,               0.001406,               0.001406,               0.001406
                     17,                 1.9517,                  1.143,                 1.2386,                0.75108,                0.59423,                0.66828,                0.30805,                  1.898,                 1.2595,                 1.3265,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.9227,                 1.1695,                 1.2344,                0.71904,                0.63191,                0.69028,                0.31072,                 1.9088,                 1.2136,                 1.3157,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.9437,                 1.1505,                 1.2478,                 0.6932,                0.57496,                0.63972,                0.30668,                 1.8732,                 1.2977,                 1.3143,              0.0012872,              0.0012872,              0.0012872
